Id,Label,Followed,Followers,Tweets,Favorites,Time Zone
lilbatureiii,lilbatureiii,411,8093,13898,377,Alaska
jetsettersflyin,jetsettersflyin,7987,8068,43359,13915,Pacific Time (US & Canada)
nicolehore,nicolehore,1843,8062,2830,2283,Melbourne
coandaf1,coandaf1,198,8042,19952,11747,Amsterdam
andrewkabuura,andrewkabuura,355,8040,21411,1345,Quito
leedsindiefood,leedsindiefood,1042,8034,8088,4355,Amsterdam
soppressatira,soppressatira,486,8016,18429,4921,Rome
pitgottschalk,pitgottschalk,981,8008,15691,5222,Bern
purepitwall,purepitwall,137,7992,1320,708,Pacific Time (US & Canada)
galoaustralia,galoaustralia,437,7883,21572,18163,Sydney
horandefensivo,horandefensivo,6173,7861,77814,14323,Brasilia
rossjaklik,rossjaklik,2878,7761,63462,3857,Eastern Time (US & Canada)
paulmcg92,paulmcg92,7038,7751,47558,22924,London
team_lh,team_lh,388,7735,2139,3604,London
gebdeportes,gebdeportes,8401,7693,17689,0,Central Time (US & Canada)
zziliani,zziliani,695,7677,5760,11502,
micholspalag,micholspalag,7640,7631,20268,1263,Mexico City
motorlat,motorlat,253,7530,33083,4855,Buenos Aires
bitacorapma,bitacorapma,269,7497,106660,1451,Bogota
hilucyhere,hilucyhere,535,7450,137199,16126,London
wisinluis_ak47,wisinluis_ak47,7247,7361,64944,0,Mexico City
evenstarsaima,evenstarsaima,245,7320,25181,12162,Pacific Time (US & Canada)
racingnews2015,racingnews2015,400,7171,14842,9689,Amsterdam
efedeportes,efedeportes,463,7153,13029,180,Belgrade
golovchenkonan2,golovchenkonan2,1686,7149,2632,471,
essaargp,essaargp,618,7103,277,1103,London
f1rai,f1rai,276,7082,3203,1890,Rome
edge_f1,edge_f1,5915,7073,11161,503,
anspachhobday,anspachhobday,1917,7066,5053,6060,London
osantacruz,osantacruz,321,7042,5903,209,Caracas
trends247,trends247,0,6968,181040,12,Chennai
cis_uk,cis_uk,1930,6948,13434,3729,London
wheelsguru,wheelsguru,1285,6877,4629,1224,
damcr,damcr,1496,6871,20688,968,Brussels
rgerbasi,rgerbasi,1944,6837,30759,2448,
arbib,arbib,807,6832,43015,2570,Jakarta
panyiszabolcs,panyiszabolcs,561,6683,4789,1386,Athens
ivanmorenoo,ivanmorenoo,6356,6682,68331,11,Caracas
bravofernandof1,bravofernandof1,545,6622,17894,353,Madrid
ifos_official,ifos_official,381,6503,32060,2412,Jakarta
area88radio,area88radio,546,6470,63870,739,Quito
motorsport_it,motorsport_it,905,6377,53276,67,Rome
fluestertweets,fluestertweets,1045,6286,14736,4372,Berlin
legenf1,legenf1,87,6281,10830,5052,Pacific Time (US & Canada)
saad_sdz,saad_sdz,4641,6240,23727,475,Casablanca
